Ride,Closed Down,5-15,20-30,35-45,50-60,65-75,80-90,95-105,110-120,125-135,140-150,155-165,170-180,185-195,200-210
TRON Lightcycle / Run,0.0,0.0,0.0,0.0,0.0,0.0,72.7,18.2,9.1,0.0,0.0,0.0,0.0,0.0,0.0
Jungle Cruise,0.0,0.0,0.0,36.4,54.5,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seven Dwarfs Mine Train,0.0,0.0,0.0,0.0,18.2,72.7,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Magic Carpets of Aladdin,0.0,45.5,27.3,27.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mad Tea Party,0.0,63.6,27.3,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Many Adventures of Winnie the Pooh,27.3,0.0,0.0,54.5,9.1,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Barnstormer,0.0,0.0,9.1,90.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haunted Mansion,0.0,0.0,9.1,72.7,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tiana's Bayou Adventure,0.0,0.0,0.0,0.0,9.1,81.8,0.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Space Mountain,0.0,0.0,0.0,9.1,72.7,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peter Pan's Flight,0.0,0.0,0.0,27.3,63.6,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mickey's PhilharMagic,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tomorrowland Speedway,0.0,18.2,81.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pirates of the Caribbean,54.5,9.1,0.0,36.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dumbo the Flying Elephant,0.0,0.0,27.3,72.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Under the Sea - Journey of The Little Mermaid,9.1,0.0,27.3,45.5,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monsters Inc. Laugh Floor,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
