,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster Starring Aerosmith,The Twilight Zone Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-03-15 00:39,,,,,,,,
2026-03-15 01:54,,,,,,,,
2026-03-15 02:49,,,,,,,,
2026-03-15 03:36,,,,,,,,
2026-03-15 07:17,,,,,,,,
2026-03-15 07:42,,,,,,,,
2026-03-15 07:56,,,,,,,,
2026-03-15 08:36,,,13.0,10.0,,,35.0,5.0
2026-03-15 09:32,85.0,,25.0,35.0,85.0,55.0,25.0,5.0
2026-03-15 10:03,75.0,,55.0,55.0,100.0,50.0,55.0,10.0
2026-03-15 10:40,95.0,,40.0,70.0,125.0,60.0,40.0,25.0
2026-03-15 11:00,80.0,,45.0,70.0,130.0,60.0,40.0,25.0
2026-03-15 11:34,85.0,,45.0,70.0,100.0,60.0,50.0,20.0
2026-03-15 11:54,85.0,,60.0,80.0,110.0,65.0,45.0,15.0
2026-03-15 12:18,85.0,,55.0,90.0,115.0,60.0,50.0,10.0
2026-03-15 12:51,60.0,,45.0,70.0,140.0,50.0,100.0,20.0
2026-03-15 13:14,80.0,,45.0,75.0,120.0,50.0,95.0,5.0
2026-03-15 13:45,70.0,,55.0,75.0,120.0,60.0,40.0,5.0
2026-03-15 14:00,55.0,,55.0,80.0,120.0,65.0,35.0,5.0
2026-03-15 14:49,,,50.0,105.0,110.0,60.0,65.0,5.0
2026-03-15 15:18,70.0,,35.0,85.0,120.0,60.0,45.0,5.0
2026-03-15 15:44,65.0,,40.0,85.0,120.0,40.0,30.0,5.0
2026-03-15 15:58,65.0,,40.0,85.0,100.0,40.0,40.0,5.0
2026-03-15 16:27,65.0,,75.0,40.0,,45.0,55.0,5.0
2026-03-15 16:53,35.0,,75.0,60.0,,55.0,40.0,5.0
2026-03-15 17:16,70.0,,55.0,65.0,,55.0,50.0,5.0
